"unitid","cityid","avgbaserate","dogs","maxoccupancyadults","fullbaths","terminated","bedrooms","beachaccess","hottub"
24785,130,0,1,,3,0,4,This home is within walking distance (0.3 miles) to Pomo Bluffs Park,-1
24825,458,0,,,2,0,3,,
24929,46,0,0,,1,0,2,,-1
5686,46,201,1,0,3,1,3,"Kings Beach State Recreation Area is at the base of 267 in Kings Beach.
The dog-friendly beach is at Carnelian Bay at Patton landing Beach.",-1
21029,324,136,,,2,1,2,,1
3342,366,286,,0,2,1,3,This home is within walking distance to the beach.,-1
8280,223,124,,,1,1,1,,-1
11989,464,146,,,2,1,2,,-1
18789,3219,167,,,2,1,3,,-1
18790,3219,170,,,2,1,3,,-1
18805,3218,155,,,2,1,4,,-1
2598,41,118,,,1,1,1,,-1
3343,366,291,,0,2,1,3,One block walking distance to the beach.,-1
21571,545,232,,,3,1,4,,-1
7256,545,147,,,2,1,2,,-1
13195,45,164,,,1,1,2,,-1
202,45,135,,,2,1,2,"Walk down Onyx to Patton Beach; use the crosswalk.
one block from the shore of Lake Tahoe and centrally located to all north tahoe's ski areas and communities.",2
6258,286,155,,0,2,1,2,,2
6056,545,114,,,2,1,3,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.
",-1
3304,366,560,,0,4,1,6,One block walking distance to the beach.,-1
11754,44,283,,6,2,1,3,,1
21226,545,138,,,2,1,3,,-1
24292,545,0,,0,2,0,2,,1
24100,234,0,1,,3,0,4,,1
21514,590,0,,,2,0,3,,1
2509,189,377,,0,2,1,4,Head west 1 block - Beach Access is one block west from the property,-1
3305,366,500,,0,3,1,3,Oceanfront home with access directly to pier and beach,-1
6069,545,224,,,2,1,3,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.


",-1
11165,32,218,,0,3,1,4,,2
10931,32,241,1,,3,1,3,,2
12416,32,198,,,2,1,3,,-1
12538,32,163,,,2,1,2,,2
14311,32,358,,8,3,1,4,,1
15607,32,183,,,2,1,3,,-1
4700,32,135,,0,1,1,1,,2
10164,32,204,1,6,2,1,3,,1
16656,32,250,,8,3,1,4,,2
17492,32,198,,,2,1,3,,-1
1679,32,264,1,,2,1,3,The Tahoe Donner Trout Creek Recreation Center is a 5 minute walk from the house.  Guests also have the option to use the Tahoe Donner Marina facility at Donner Lake just 10 minutes away. Please note that access is limited to 8 persons (2 per guest card). Must have cards in possession to access amenities.,1
1758,32,275,1,,4,1,4,"0",2
2512,189,372,,0,2,1,4,The beach is 1 block West across the street,-1
2796,32,234,,0,3,1,4,,-1
4247,32,287,,0,3,1,4,"The Tahoe Donner Trout Creek Recreation Center is a five-minute walk from the home. Guests also have the option to use the Tahoe Donner Marina facility at Donner Lake, just 10 minutes away.",2
4292,32,189,1,0,1,1,2,"Seasonal free shuttle connects complex with the Village at Northstar (ski base area, shopping, dining, movie theater) and also with golf, other communities in Northstar, and public transportation.",2
6567,32,155,,0,2,1,3,,2
6985,32,148,1,,2,1,2,Donner Lake is only a few blocks away.  Walk in 5 minutes and enjoy free public docks along the shore.,-1
7853,32,169,,,2,1,3,"Tahoe Donner has a boat launch, and lake access on Donner Lake. Please check for seasonal availability.",2
7881,32,209,1,,2,1,3,Tahoe Donner Marina at Donner Lake is a 5 minute drive.,2
9241,32,202,,,3,1,3,,1
10414,32,190,,,2,1,3,,2
13154,32,158,,,2,1,3,,-1
13356,32,154,1,,1,1,2,,2
13357,366,291,,,2,1,2,,-1
14486,118,313,,,2,1,3,,-1
17743,351,750,,,3,1,6,,-1
779,43,176,,,2,1,3,"1 miles to the lake",-1
3947,43,229,1,,3,1,3,"Guests have access to the Lake Tahoe Park Association private beach at	1700 Sequoia Ave, Tahoe City, CA 96145.  Bring one of the passes from the key rack in the kitchen.",1
469,43,148,,5,1,1,2,"From here, you're also right near the Lake Forest neighborhood, including a couple of sandy beaches that you can easily visit on foot.",2
2191,43,153,,,2,1,3,"There are several public beaches along Lake Forest Road, across the main road.",2
5255,43,166,1,,2,1,4,Tahoe Park Beach,-1
7630,43,172,,,2,1,3,"Across the street from public beach, just a short walk away.",2
9190,48,170,,,2,0,3,,-1
17194,46,297,,,2,1,1,,-1
21666,32,201,,0,3,1,3,,-1
23471,545,165,,,2,1,3,,-1
3367,63,332,,,2,1,4,Meeks Bay,-1
4861,286,285,1,8,2,1,4,,-1
10449,63,156,1,6,2,1,3,,-1
12164,286,168,,,2,1,2,,2
12711,63,175,,,2,1,3,,-1
13318,63,160,,6,1,1,3,,-1
2295,32,310,,,3,1,4,"Guests can access the public docks that span the North Shore or Donner Lake by walking approximately 0.7 miles.  When you exit the driveway, turn right on Denton Ave.  Walk to Pioneer Drive and turn left. At James Drive, turn right and walk to Donner Pass Road.  Once at Donner Pass Road, the lake shore has several free first come first serve public piers.  The Donner Lake boat ramp is to the right.",2
15617,46,151,,,1,1,0,Speedboat Beach is under a mile away from this unit.,1
19338,32,244,,,1,0,2,The shores of Lake Tahoe in Kings Beach is 7 miles away.,2
8066,32,165,,,1,1,1,,2
22498,505,206,,,2,1,3,,1
25283,190,0,,,2,0,5,,-1
19363,3219,182,1,,2,0,3,,-1
22001,351,0,1,,3,0,4,,1
22285,164,0,1,,2,0,3,,-1
5334,528,134,,,1,0,2,,1
8966,545,238,,8,2,1,3,"This home is on the lake.  Caution---Due to safety reason renting to groups with children under 12...Infants that do not crawl are ok if the parents understand there are decks that are not child proof, and  this home sits right on Pine Mountain Lake with deep water right off the deck to the lake.
--There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.",2
3702,190,174,1,0,2,1,3,,-1
9764,127,255,,,2,1,3,,1
11924,32,214,1,6,2,1,3,,-1
25332,32,0,,,3,0,4,,
25329,84,0,1,,2,0,3,,-1
16223,189,184,1,4,2,1,2,,-1
24695,467,0,,,2,0,3,,2
25276,566,0,,,1,0,1,,2
25312,130,0,1,,2,0,2,,-1
17564,324,0,0,,2,0,3,,-1
24701,164,0,1,,1,0,2,,-1
25242,478,0,,,3,0,3,,-1
3595,127,185,,,2,1,3,,-1
10992,127,259,1,,2,1,3,,-1
1324,131,174,1,,2,1,2,"",-1
6474,43,292,1,,3,1,5,,1
14805,131,148,,,1,1,2,,-1
15525,204,190,,,3,1,3,,2
21213,204,171,,,2,1,3,,-1
5991,226,98,,0,2,1,3,,2
6746,204,166,,0,2,1,2,,-1
9277,41,208,,,1,1,1,,2
9758,528,150,1,,1,1,2,,1
21220,545,242,,,3,1,4,,-1
499,46,155,,,2,0,2,,-1
1846,157,382,,,3,1,3,A leisurely stroll less than a mile west to reach the area's famous beaches.,-1
2065,157,518,,,4,1,3,,-1
2794,190,115,1,4,1,1,2,,-1
3962,438,284,,0,2,1,4,,1
5333,528,146,1,,2,0,2,,1
9542,367,247,,6,2,1,4,,-1
10296,32,196,,,2,1,3,,2
10431,1130,947,,,2,1,4,,1
13422,367,224,1,,2,1,3,,-1
13840,194,103,,,1,1,2,,-1
16144,545,373,,,3,1,5,"Beach Water Access: There are three beaches - The Marina, Lake Lodge, and Dunn Court. Swimming is allowed inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock. Please display your parking pass if visiting one of these areas. Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday and is reserved for homeowners. Beaches can also be accessed via water taxi, traveling from one beach to the next. Please call Pine Mountain Lake with any questions: (209) 962-8615. The community swimming pool is located on Mueller Drive and is managed by Pine Mountain Lake Association. Although the pool is listed as an amenity, at times it may be unavailable due to maintenance or other unforeseen operational issues at the direction of Pine Mountain Lake. Please take your guest pass to be admitted to the community pool.  
",-1
16512,189,219,,6,2,1,2,,-1
16765,486,278,1,,2,1,3,,-1
16850,164,96,1,,1,1,1,,-1
20526,351,158,1,,2,0,3,,2
20683,84,0,,,2,0,4,,-1
21237,32,173,1,,2,1,4,,2
21391,231,297,1,,3,1,4,,-1
25363,590,0,1,,3,0,4,,-1
221,41,230,,,1,1,1,Drive 5 miles south on 89 to Tahoe City and Commons Beach.,2
2510,189,316,,,2,1,3,"2 blocks West across PCH",-1
5257,371,313,,,2,1,3,"Easy access is available at Lampton, Harvey (sandy) and Wedgewood Streets (off Sherwood Drive, on the Marine Terrace of Lodge Hill).There is a rough access to Otter Cove at the south end of the former Fiscalini Ranch, at the north end of Windsor Boulevard South.",-1
8009,41,250,,,1,1,0,,2
8581,189,478,1,6,2,1,3,"Corona Del Mar State Beach is less than 1 mile away! For more details, visit: http://www.parks.ca.gov/?page_id=652",-1
12142,42,302,,,2,1,2,,2
13879,1249,301,,,2,1,2,,2
16069,1249,360,,,4,1,4,,1
16532,189,338,,,3,1,4,,-1
17668,165,172,,,1,1,0,,-1
19348,43,467,,,4,0,6,,-1
11095,165,210,,,1,1,2,"1-2 blocks from the beach",-1
1149,32,241,,0,2,1,3,"Trout Creek Recreation Center has a private beach at Donner Lake, and a ski area with tubing hill or make the short drive to Kings Beach.",2
1455,32,288,1,,4,1,4,The Tahoe Donner Trout Creek Recreation Center is a 5 minute walk from the house.  Guests also have the option to use the Tahoe Donner Marina facility at Donner Lake just 10 minutes away.,2
4257,32,231,1,,2,1,3,,2
9380,32,350,,,3,1,3,,-1
12908,165,112,,,1,1,0,,-1
17664,165,313,,,2,1,2,,-1
4281,464,128,,0,1,0,2,,-1
6127,41,443,,,4,0,5,There is a public beach in Tahoe City at Commons Beach.,-1
6997,41,189,,,1,1,1,,2
12059,32,228,,,3,1,4,,2
12493,32,226,1,,2,1,3,,2
12609,32,187,,,2,0,3,,1
10475,32,170,,6,1,0,2,,2
24882,458,0,,,2,0,3,,-1
25333,545,0,0,,2,0,4,,-1
23880,127,0,,,1,1,2,,1
24864,590,0,,,2,0,3,,1
25348,84,0,0,,3,0,4,,-1
4273,464,122,,,2,1,3,,-1
7619,32,165,1,,2,0,2,"The Tahoe Donner Trout Creek Recreation Center is a five-minute walk from the home. Guests also have the option to use the Tahoe Donner Marina facility at Donner Lake, just 10 minutes away.",2
7874,464,123,1,6,1,0,1,,-1
9283,164,154,,6,2,1,3,"",-1
9321,32,212,,9,3,0,3,Access to Tahoe Donner Beach and Marina at Donner Lake.  Fee applies.,2
9783,189,266,,6,2,0,3,Back patio Private Dock faces the Balboa Grand Canal.,-1
9914,164,140,1,6,1,1,3,,-1
11185,164,132,1,4,1,1,2,,1
12258,351,172,,,2,0,2,,2
13346,164,138,,,3,1,3,,-1
14085,164,127,1,,1,1,1,,1
14228,164,127,1,,1,1,2,,1
17666,165,233,,,1,1,1,,-1
19266,164,111,1,,1,0,2,,-1
19602,164,99,,,1,0,1,,-1
24114,464,186,1,,2,0,3,,1
24648,32,296,,,3,0,4,,2
7397,367,276,,,2,0,3,,-1
8162,195,206,,4,1,1,0,"Very close to several beaches. While the distance is short enough to walk, please drive to/from beaches. Pacific Coast Highway is between you and the beaches and there are no protected crossings nearby for pedestrians. Drivers on PCH can be unsafe at times, so it is always better to drive to the beach.",-1
8196,195,206,,4,1,1,0,"Very close to several beaches. While the distance is short enough to walk, please drive to/from beaches. Pacific Coast Highway is between you and the beaches and there are no protected crossings nearby for pedestrians. Drivers on PCH can be unsafe at times, so it is always better to drive to the beach.",-1
8595,195,391,,8,2,1,2,"Very close to several beaches. While the distance is short enough to walk, please drive to/from beaches. Pacific Coast Highway is between you and the beaches and there are no protected crossings nearby for pedestrians. Drivers on PCH can be unsafe at times, so it is always better to drive to the beach.",-1
524,43,158,,0,2,0,3,"1",2
1553,32,201,,,2,0,3,"Seasonal free shuttle connects complex with the Village at Northstar (ski base area, shopping, dining, movie theater) and also with golf, other communities in Northstar, and public transportation.",2
6006,194,118,,,2,1,2,"Pine Knot Marina is 5.0 miles  (approx. 12 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 5.2 miles (approx 13 minute drive) from the house & Snow Summit Ski Resort is 4.6 miles (approx 12 minute drive) from the house.",-1
6266,41,347,1,,2,1,4,"0",-1
8722,46,163,,,2,0,3,,-1
9246,131,368,,5,2,1,3,You'll find beach access 1/4 mile away at Casper Beach.,1
10484,234,140,1,,2,0,2,,2
11085,43,154,1,,2,0,3,,2
11836,351,143,,,2,0,2,,2
14349,204,176,,,2,1,2,,-1
14822,464,128,1,4,1,0,1,,-1
15756,46,184,,,1,1,1,,1
16261,164,162,1,,1,1,3,,-1
17660,351,844,,,3,1,7,,-1
18798,3219,183,1,,2,0,2,,-1
19337,32,157,,,1,1,2,,2
2287,223,151,,,2,1,3,"Pine Knot Marina is 7.2 miles  (approx. 17 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 7.4 miles (approx 17 minute drive) from the house & Snow Summit Ski Resort is 6.3 miles (approx 16 minute drive) from the house. 
",-1
6347,545,519,,,4,1,4,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.

Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.",-1
6349,194,143,1,,1,1,4,"Pine Knot Marina is 3.2 miles  (approx. 8 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 2.4 mile (approx 6 minute drive) from the house & Snow Summit Ski Resort is 2.4 miles (approx 7 minute drive) from the house.",-1
6948,708,282,,,2,0,3,,-1
7970,464,136,1,2,1,0,1,,1
14139,194,123,,,1,1,2,,1
14815,194,120,,,2,1,3,,-1
17036,351,164,,,2,0,3,,2
17545,195,361,,,2,1,2,,-1
17595,464,201,,,2,0,3,,1
18771,3219,192,,,2,1,3,,-1
18794,3218,129,,,1,1,2,,-1
22484,165,0,,,1,0,1,,-1
22488,32,158,,,2,1,3,,2
24700,165,0,,,2,0,2,,-1
25367,528,0,1,,2,0,3,,-1
18483,164,99,,4,1,0,1,"This quiet Big Bear Lake neighborhood is just a five-minute drive from the lake for swimming and boating. In winter, Bear Mountain Resort is only a five-minute drive away, with Snow Summit Mountain Resort only a few extra miles down the road. The downtown area around the lake (also minutes by car) is dotted with restaurants, shops, and galleries.  Big Bear Lake offers activities like canoeing, boating, swimming, and fishing.",-1
1079,41,207,,,1,1,1,Tahoe City at Commons Beach,2
1728,157,362,,,2,1,2,"1",-1
1772,32,223,,,3,1,4,"1",2
1880,32,144,,,1,0,0,"",2
4101,460,370,,0,2,1,3,Lookout Park/Beach is at the end of Evans Street and is about 4 blocks from the house.  You can walk or drive there.  There is a pathway that will lead you down to the beach.,-1
4131,46,324,,,3,1,4,Kings Beach State Park is down in Kings Beach.  There may be a parking fee.,-1
4275,464,126,,,1,1,2,,1
4782,164,189,,,3,1,2,"Pine Knot Marina is 2.3 miles  (approx. 7 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 1.1 mile (approx 4 minute drive) from the house & Snow Summit Ski Resort is 0.1 miles (approx 2 minute drive) from the house.",-1
4984,464,147,,0,2,1,2,,-1
6001,464,185,,0,2,1,4,,-1
6152,545,297,,,3,0,3,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.
",-1
6257,204,230,1,0,2,0,4,,2
7276,157,353,,0,2,1,3,,-1
7601,32,237,,0,2,1,2,,2
9166,32,224,,,2,1,3,,2
10647,43,167,,,2,1,3,,-1
10935,223,109,1,5,1,1,2,,-1
12043,32,156,,,2,1,2,,2
15272,32,176,,,2,1,3,,2
15862,127,116,1,,1,1,1,,-1
16093,324,200,1,,2,1,2,,1
16781,590,185,,,3,0,3,,-1
16898,127,399,,,3,1,4,,1
16899,127,352,,,4,1,4,,1
16999,32,176,1,,2,1,3,,2
17102,204,231,,,4,1,4,,2
17130,32,491,,,4,1,5,,-1
17140,204,276,,,2,0,3,,-1
19611,32,117,,,1,0,0,,-1
21307,204,176,,,2,1,3,,2
3695,231,0,1,2,1,1,1,,2
4387,56,172,1,0,2,1,4,,-1
4538,464,101,,,1,0,1,,1
4923,157,500,,,2,0,3,Walk 2 blocks to La Jolla Shores beaches.,-1
5314,528,180,1,,2,1,2,,1
7234,528,404,,,2,1,3,,1
12492,32,415,,10,3,0,5,,-1
13355,366,270,,,1,1,2,,-1
17903,32,167,,,2,0,3,,2
18445,464,103,,,1,0,0,,-1
19594,464,195,,,2,1,3,,1
20330,464,373,1,,4,0,4,,-1
20437,189,329,,,2,0,2,,-1
21235,545,191,,,2,0,3,,-1
25013,164,0,,,6,0,5,,1
15503,43,0,,,2,1,3,,-1
25413,165,0,,4,2,0,2,,-1
3178,43,181,,0,2,0,3,"1 block to Lake Tahoe",1
2326,237,349,,0,3,1,4,Four-minute drive to Doran Beach,-1
4314,324,165,,0,2,1,3,,-1
4525,464,190,1,,2,1,3,,-1
4860,164,129,,,2,1,2,"Pine Knot Marina is 1.3 miles  (approx. 5  minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 2.4 miles (approx 3 minute drive) from the house & Snow Summit Ski Resort is 0.6 miles (approx 12 minute drive) from the house. 
",-1
5305,528,212,,,2,0,4,,1
6548,237,322,,,3,1,3,,-1
9404,41,255,,,2,1,4,,1
10079,324,187,1,,1,1,2,,1
11037,237,340,,,1,1,2,This home has direct access to the water by walking down the stairs.  Beaches and beach access are all along the coast.,2
12362,2983,209,1,,2,0,3,,-1
13274,324,173,,,3,1,3,"The closest beach access is from Gualala Point Regional Park which can be seen from the deck at the home. Parking for this beach is free if parking at the pullout on the East side of Highway One. If you park inside the park, the cost is $7.00 per day. Its about a mile walk down to the beach.",-1
15261,231,820,,,6,1,5,,1
17665,165,282,,,2,1,2,,-1
18786,3219,147,1,,2,1,3,,-1
315,44,270,,,3,0,4,Pines Beach right across the road,-1
487,32,407,,,3,0,4,"",1
1050,84,137,,,2,1,2,"0",-1
1373,43,256,1,,2,0,4,"1",-1
2292,32,265,,,3,0,4,"The Tahoe Donner Beach Club, on the East end of Donner Lake, is about an 8-minute drive away. It's open from around Memorial Day until the first Sunday in October. To get there,  turn left out of the rental toward Mougle Ln. Turn left onto Mougle then right onto Basel Pl, and left onto Laussane Wy. Turn left onto Northwoods Blvd. At the light make a right onto Donner Pass Rd.  The Beach Club will be on your left just after the Donner Memorial State Park. For entry it's $8 per person for the day.",2
2417,84,280,1,8,3,1,4,El Dorado Beach is 15 blocks North of the property.,1
2779,84,274,,0,3,1,4,Drive West on Emerald Bay Road for 1.5 miles,1
3001,84,157,,0,2,1,4,El Dorado Beach is 2 miles east on Highway 50.,-1
3904,84,141,,,2,1,3,Drive 1.7 miles down Emerald Bay Road to Camp Richardson.,-1
4264,464,136,,,1,0,1,,-1
4272,464,114,1,,1,0,2,,1
4391,41,264,,0,2,1,3,,-1
4519,32,351,,,2,1,3,Donner Lake is right across the street and the marina is less than three miles up the road,1
4669,204,177,,0,2,0,3,,2
4703,41,439,,,4,1,5,,1
5017,84,143,,,2,1,2,,-1
6029,281,192,,,1,0,3,Beach is either short walk or drive.  When you leave go back to the Yerba Buena & Hwy 1 intersection / light and just cross the street and walk about 100 yards and you are at the beach.,-1
6251,32,327,,,3,1,4,East end of Donner Lake,2
6343,44,247,,,2,1,4,"At the end of Grand Avenue, 5 blocks away",-1
